firm_id,sector_01,sector_02,sector_03,sector_04,sector_05,sector_06,sector_07,sector_08,sector_09,sector_10,sector_11,sector_12,sector_13,sector_14,sector_15,sector_16,sector_17,sector_18,sector_19,sector_20,sector_21,sector_22,sector_23,sector_24,sector_25,sector_26,sector_27,sector_28,sector_29,sector_30,sector_31,sector_32,sector_33
firm_000000,0.027760353,0.024312198,0.025002582,0.027793216,0.0395264,0.027067201,0.03802667,0.032938953,0.040176146,0.024386846,0.03174912,0.030913273,0.033167135,0.02592212,0.025594836,0.030844046,0.028087087,0.029148461,0.02445296,0.032115847,0.03930901,0.033169795,0.025875794,0.02445909,0.03480026,0.029288776,0.03703341,0.028938966,0.040957905,0.033009045,0.023460872,0.02875102,0.021960601
firm_000001,0.024957722,0.028856546,0.03641838,0.026489565,0.038601268,0.03216114,0.0277787,0.027713062,0.04215588,0.024675813,0.031701438,0.033888314,0.028734805,0.029564338,0.029882142,0.033869892,0.027583988,0.031000568,0.023299096,0.034667168,0.027638717,0.03264888,0.027290795,0.027596252,0.02445664,0.032722134,0.030588849,0.022628851,0.025540946,0.038340576,0.03289176,0.030462129,0.033193637
firm_000002,0.036837045,0.024578111,0.032519575,0.029014776,0.03488664,0.025842478,0.021986237,0.03027066,0.034626734,0.02470592,0.027487367,0.026341457,0.029176526,0.035631936,0.028162263,0.03829736,0.03460775,0.022097385,0.027997766,0.027494013,0.032684527,0.025912857,0.027473947,0.02744764,0.036824968,0.029751804,0.043201327,0.0298306,0.031245075,0.03666244,0.024571976,0.029631047,0.032199796
firm_000003,0.028173463,0.02096218,0.02366504,0.024028467,0.03561304,0.029735878,0.03158474,0.03890527,0.042845223,0.022472069,0.03333244,0.028812742,0.039824113,0.031800102,0.04103601,0.022190573,0.033107884,0.032085236,0.02863459,0.040124603,0.029814828,0.02627714,0.024887932,0.027466854,0.03579623,0.02576557,0.03240875,0.022233477,0.03759919,0.027190873,0.030547792,0.031209767,0.019867923
firm_000004,0.029782575,0.022532787,0.020817652,0.023441993,0.03490326,0.029771058,0.033621132,0.0343618,0.038356543,0.03161797,0.030301536,0.028029904,0.02894118,0.033109434,0.03529007,0.028669985,0.028282814,0.03088491,0.022109693,0.034959015,0.03368582,0.033059563,0.024514431,0.026439244,0.0330526,0.029373359,0.03209595,0.027795678,0.037499156,0.030257506,0.027153874,0.03385238,0.03143512
firm_000005,0.030667458,0.029849907,0.025826605,0.032218598,0.029080762,0.03156107,0.022339176,0.021331329,0.04095377,0.020292306,0.034526326,0.019660436,0.04704337,0.025968142,0.04277365,0.019751288,0.027195442,0.026624367,0.033235665,0.03969996,0.03948379,0.030421197,0.033332705,0.03152515,0.027243381,0.025854273,0.038319886,0.034167234,0.030567808,0.01779696,0.030109484,0.027416643,0.03316188
firm_000006,0.028712105,0.025222162,0.031339493,0.030161837,0.027097989,0.03372597,0.031051282,0.04093846,0.035547584,0.030342901,0.037404273,0.037901968,0.030303895,0.025659679,0.027573306,0.033337273,0.025663264,0.02391831,0.019992778,0.030612914,0.028624037,0.016782438,0.034570474,0.03214591,0.032567643,0.031302568,0.03537553,0.015346257,0.02870899,0.039698295,0.030201618,0.027957205,0.0402116
firm_000007,0.023829998,0.025348442,0.021979215,0.033969264,0.03343538,0.028454483,0.03135688,0.032557257,0.042904466,0.0199349,0.02947811,0.028521929,0.040135927,0.026033381,0.028644854,0.028080374,0.024818767,0.029091198,0.026454326,0.037754383,0.039584167,0.035150144,0.030467082,0.029119425,0.03342668,0.032443877,0.03468228,0.024349269,0.035153393,0.027113814,0.029780945,0.029635135,0.026310256
firm_000008,0.034695923,0.028075704,0.028687889,0.033308793,0.028875072,0.034306,0.023808304,0.033059243,0.032658946,0.028062325,0.028497873,0.029269626,0.029425934,0.028893467,0.030204298,0.028195674,0.02757725,0.023061305,0.023951462,0.023670617,0.03535897,0.02930547,0.02975121,0.03139878,0.039865468,0.029719451,0.042987205,0.024373248,0.037864096,0.035792716,0.024402097,0.029572682,0.031322915
firm_000009,0.03944515,0.031088848,0.027528292,0.034635115,0.023008315,0.02872416,0.023974355,0.015504708,0.03133662,0.02256281,0.02345847,0.031042356,0.03803689,0.03526472,0.018800996,0.038723335,0.02202469,0.022359341,0.019411534,0.03090348,0.035294414,0.035362836,0.04262524,0.02593558,0.035244957,0.040247023,0.041310336,0.03451111,0.03030482,0.03901442,0.023458857,0.031026233,0.02782999
